"","x"
"157","VINA:Because that's the way you imagined me. "
"158","PIKE:Who are you? You act as if this were really you. "
"159","VINA:Careful. "
"160","(Pike and Vina retreat up some stairs. The killer breaks Pike's spear and they throw objects at it. Pike gets knocked down into the courtyard. The killer grabs Vina and Pike throws a spear into it's back. Then it jumps down and spears itself on a wicked harpoon that Pike grabs just in time)"
"161","[Pike's cell]"
"162","VINA:It's over. "
"163","(Vina hugs her hero, then sees the Talosians watching them. The Talosians leave.)"
"164","PIKE:Why are you here? "
"165","VINA:To please you. "
"166","PIKE:Are you real? "
"167","VINA:As real as you wish. "
"168","PIKE:No, no. No, that's not an answer. I've never met you before, never even imagined you."
"169","VINA:Perhaps they made me out of dreams you've forgotten."
"170","PIKE:What, and dress you in the same metal fabric they wear?"
"171","VINA:I have to wear something, don't I? I can wear whatever you wish, be anything you wish."
"172","PIKE:So they can see how their specimen performs? They want to see how I react, is that it?"
"173","VINA:Don't you have a dream, something you've always wanted very badly?"
"174","PIKE:Or do they do more than just watch me? Do they feel with me, too?"
"175","VINA:You can have whatever dream you want. I can become anything, any woman you've ever imagined. You can have anything you want in the whole universe. Let me please you."
"176","PIKE:Yes. Yes, you can please me. You can tell me about them. Is there any way I can keep them from probing my mind, from using my thoughts against me? Does that frighten you? Does that mean there is a way?"
"177","VINA:You're a fool."
"178","PIKE:Since you're not real, there's not much point in continuing this conversation, is there."
"179","[Planet surface]"
"180","(A big laser cannon is aimed at the door in the rock."
"181","ONE:All circuits engaged, Mister Spock. SPOCK [OC]: Standing by, Number One."
"182","ONE:Take cover. SPOCK [OC]: Ten, nine, eight, seven, six, five, four, three, two, one. (The laser cannon blasts away)"
"183","ONE:Increase to full power! Can you give us any more? SPOCK [OC]: Our circuits are beginning to heat. We'll have to cease power."
"184","ONE:Disengage. The top of that knoll should have been sheared off the first second."
"185","BOYCE:Maybe it was. It's what I tried to explain in the briefing room. Their power of illusion is so great, we can't be sure of anything we do, anything we see."
"186","[Pike's cell]"
"187","VINA:Perhaps if you asked me some questions, I could answer."
"188","PIKE:How far can they control my mind?"
"189","VINA:If I tell you, then will you pick some dream you've had and let me live it with you?"
"190","PIKE:Perhaps."
"191","VINA:They can't actually make you do anything you don't want to do."
"192","PIKE:But they try to trick me with their illusions."
"193","VINA:And, they can punish you when you're not co-operative. You'll find out about that. "
"194","PIKE:Did they ever live on the surface of this planet? Why did they go underground?"
"195","VINA:War, thousands of centuries ago."
"196","PIKE:That's why it's so barren up there? VINA; The planet's only now becoming able to support life again."
"197","PIKE:So the Talosians who came underground found life limited here and they concentrated on developing their mental power."
"198","VINA:But they found it's a trap. Like a narcotic. Because when dreams become more important than reality, you give up travel, building, creating. You even forget how to repair the machines left behind by your ancestors. You just sit, living and reliving other lives left behind in the thought record."
"199","PIKE:Or sit probing minds of zoo specimens like me."
"200","VINA:You're better than a theatre to them. They create the illusion for you, they watch you react, feel your emotions. They have a whole collection of specimens, descendants of life brought back long ago from all over this part of the galaxy."
"201","PIKE:Which means they had to have more than one of each animal."
"202","VINA:Please."
"203","PIKE:They'll need a pair of humans too. Where do they get intend to get the Earth woman?"
"204","VINA:You said that if I answered questions"
"205","PIKE:But that was a bargain with something that didn't exist. You said you weren't real, remember?"
"206","VINA:I'm a woman as real and as human as you are. We're like Adam and Eve. If we. Don't. Please don't punish me! (disappears)"
"207","(Pike sees the Magistrate walk away)"
"208","(Pike continues to search the walls for a door when a hatch opens and a glass is placed on the floor)"
"209","MAGISTRATE:The vial contains a nourishing protein complex."
"210","PIKE:Is the keeper actually communicating with one of his animals?"
"211","MAGISTRATE:If the form and the colour is not appealing, it can appear as any food you wish to visualise."
"212","PIKE:And if I prefer"
"213","MAGISTRATE:To starve? You overlook the unpleasant alternative of punishment."
"214","(Pike is surrounded by fire and brimstone, screaming in pain)"
"215","MAGISTRATE:From a fable you once heard in childhood. You will now consume the nourishment."
"216","PIKE:Why not just put irresistible hunger in my mind? Because you can't, can you? You do have limitations, don't you?"
"217","MAGISTRATE:If you continue to disobey, from deeper in your mind, there are things even more unpleasant."
"218","(Pike drinks the nourishment then launches himself at the glass wall. The Magistrate steps back in surprise)"
"219","PIKE:That's very interesting."
"220","MAGISTRATE:Now to the female."
"221","PIKE:You were startled. Weren't you reading my mind then?"
"222","MAGISTRATE:As you've conjectured, an Earth vessel did crash on our planet, but with only a single survivor."
"223","PIKE:No, let's stay on the first subject. All I wanted for that moment was to get my hands around your neck."
"224","MAGISTRATE:We repaired the survivor's injuries and found the species interesting."
"225","PIKE:Do primitive thoughts put up a block you can't read through?"
"226","MAGISTRATE:It became necessary to attract a mate."
"227","PIKE:All right, all right, let's talk about the girl. You seem to be going out of your way to make her attractive, to make me feel protective."
"228","MAGISTRATE:This is necessary in order to perpetuate the species."
"229","PIKE:It seems more important to you now that I begin to accept her and like her."
"230","MAGISTRATE:We wish our specimens to be happy in their new life."
"231","PIKE:Assuming that's a lie, why would you want me attracted to her? So I'll feel love in a husband-wife relationship? That would be necessary only if you intend to build a family group or perhaps a whole human community."
"232","MAGISTRATE:With the female now properly conditioned."
"233","PIKE:You mean properly punished! I'm the one who's not co-operating! Why don't you punish me?"
"234","MAGISTRATE:First, an emotion of protectiveness. Now one of sympathy. Excellent."
"235","[Woodland glade]"
"236","(A picnic spread on a tartan rug, two horses standing by, a futuristic city in the distance)"
"237","VINA:You want some coffee, dear? I left the thermos hooked to my saddle."
"238","PIKE:Tango! You old devil, you. I'm sorry I don't have any sugar. Well, they think of everything, don't they? (feeds lumps to the horse) "
"239","VINA:Hey, your coffee. Is it good to be home?"
"240","PIKE:They read our minds very well. Home, anything else I want, if I co-operate, is that it?"
"241","VINA:Have you forgotten my headaches, darling? I get them when you talk strangely like this. "
"242","PIKE:Look, I'm sorry they punish you, but we can't let them "
"243","VINA:My, it turned out to be a lovely day, didn't it? "
"244","PIKE:It's funny. It's about twenty four hours ago I was telling the ship's doctor how much I wanted something else not very different from what we have here. An escape from reality. Life with no frustrations. No responsibilities. Now that I have it, I understand the doctor's answer. "
"245","VINA:I hope you're hungry. These little white sandwiches are your mother's recipe for chicken tuna. "
"246","PIKE:You either live life, bruises, skinned knees and all, or you turn your back on it and start dying. The doctor's going to be happy about one part, at least. He said I needed a rest. "
"247","VINA:This is a lovely place to rest. "
"248","PIKE:I used to ride through here when I was a kid. It's not as pretty as some of the parkland around the big cities, but. That's Mojave. That's where I was born. "
"249","VINA:Is that supposed to be news to your wife? You're home. You can even stay if you want. Wouldn't it be nice showing your children where you once played? "
"250","PIKE:These headaches, they'll be hereditary you know. Would you wish them on a child or a whole group of children? "
"251","VINA:Foolish. "
